Respondent_ID,True_Segment,Employment_Status,Industry_Sector,Org_Level,Work_Experience_Years,Org_Size,Age_Band,Gender,Prior_AI_Experience,Change_Frequency,AI_Strategy_Communicated,Training_Received,AI_Usage_Hours_Monthly,SEMDIFF_Trust,SEMDIFF_Empower,SEMDIFF_Intuitive,Rank_Training,Rank_Leadership,Rank_Evidence,Rank_JobSecurity,Rank_Peer,Scenario_Response,Barrier_Category,LEAD_1,LEAD_2,LEAD_3,MGMT_1,MGMT_2,CULT_1,CULT_2,CULT_3,PSAFE_1,PSAFE_2,CFAT_1,CFAT_2,RES_1,RES_2,RES_3,COMM_1,COMM_2,TRAIN_1,TRAIN_2,TRAIN_3,LIT_1,LIT_2,LIT_3,DLIT_1,DLIT_2,TRUST_1,TRUST_2,TRUST_3,ANX_1,ANX_2,PU_1,PU_2,PU_3,PEOU_1,PEOU_2,JSEC_1,JSEC_2,COLLAB_1,COLLAB_2,INFRA_1,INFRA_2,ENG_1,ENG_2,DCONF_1,DCONF_2,INTENT_1,INTENT_2,Leadership_Readiness_Score,Training_Quality_Score,AI_Trust_Score,Resistance_Score,Change_Fatigue_Score,Digital_Confidence_Score,Behavioural_Adoption_Intent_Score,AI_Readiness_Index,Digital_Maturity_Index,AI_Transformation_Readiness_Score,AI_Adopter_Flag,Contradictory_Response_Flag
11,Cautious Pragmatist,Full-time employed,Consulting,Team Lead / Supervisor,More than 15 years,,35 to 44,Female,"Yes, only once or twice",Often (4 to 6 times),"Yes, clearly and in detail","Yes, structured and ongoing training",3.1,3,3.0,3.0,4,3,2,5.0,1.0,Ask a colleague for help before trying it,Lack of leadership support,3,3,3,3.0,3.0,2,3,2,2.0,2.0,3.0,3.0,3,2,3,3,3,3,3,4,3.0,4.0,3,4.0,2.0,4,5,4,2,2,3,3,3,3,3,3.0,2.0,3.0,,3.0,4.0,4,4,4,4,3,3,50.0,58.33,83.33,40.0,50.0,62.5,49.62,65.0,58.38,59.43,0,0
12,Digital Resister,Full-time employed,Retail & E-commerce,Team Lead / Supervisor,2 to 5 years,"More than 10,000",25 to 34,Male,"Yes, only once or twice",Often (4 to 6 times),"No, but it is rumoured / informally discussed",No training received,1.0,1,3.0,3.0,3,2,4,1.0,5.0,Avoid using it for as long as possible,Distrust of AI accuracy,1,2,1,1.0,1.0,1,2,2,3.0,3.0,4.0,4.0,5,5,5,3,3,3,3,2,2.0,3.0,3,2.0,1.0,2,1,2,5,5,3,4,3,3,3,4.0,4.0,2.0,4.0,1.0,2.0,2,1,2,1,2,5,17.86,24.79,16.67,90.0,75.0,12.5,16.28,32.5,11.59,21.8,0,1
13,Cautious Pragmatist,Full-time employed,Manufacturing,Middle Manager,2 to 5 years,"1,001 to 10,000",25 to 34,Male,"No, never",Rarely (once),"No, there is no visible AI strategy","Yes, a one-time session or workshop",17.5,3,3.0,4.0,1,4,2,5.0,3.0,Ask a colleague for help before trying it,Lack of time,2,2,2,3.0,4.0,4,3,3,3.0,3.0,2.0,2.0,3,3,3,2,2,3,4,3,2.0,3.0,3,3.0,3.0,4,3,3,3,3,2,2,3,4,3,2.0,2.0,3.0,3.0,3.0,3.0,3,4,4,4,3,4,35.71,50.46,58.33,40.0,25.0,62.5,65.65,50.0,61.17,53.22,1,1
14,Change Fatigued,Full-time employed,Banking & Financial Services,Middle Manager,Less than 2 years,50 to 200,35 to 44,Female,"Yes, occasionally",Often (4 to 6 times),"Yes, but only in general terms","Yes, structured and ongoing training",1.3,2,2.0,3.0,1,5,4,2.0,3.0,Ask a colleague for help before trying it,Fear of job loss,3,2,3,2.0,2.0,3,3,3,2.0,2.0,3.0,3.0,3,3,3,3,2,3,3,3,2.0,2.0,2,3.0,2.0,4,3,3,2,2,3,3,3,3,4,4.0,3.0,2.0,3.0,,3.0,2,3,2,3,4,3,35.71,50.0,58.33,55.0,50.0,37.5,57.2,60.0,32.84,29.35,0,0
15,Cautious Pragmatist,Full-time employed,Retail & E-commerce,Middle Manager,Less than 2 years,"More than 10,000",45 to 54,Female,"Yes, occasionally",Never,"Yes, but only in general terms",Informal / self-directed learning only,2.7,3,3.0,2.0,3,1,4,5.0,2.0,Try to figure it out myself immediately,Lack of training,3,4,2,4.0,3.0,4,3,4,3.0,3.0,3.0,2.0,2,3,2,3,3,3,2,2,3.0,3.0,3,3.0,2.0,3,3,3,4,4,4,4,4,3,3,3.0,3.0,3.0,3.0,4.0,4.0,3,3,3,3,3,3,53.57,24.33,50.0,40.0,37.5,43.75,62.04,52.5,50.72,60.87,0,0
16,Transformation Leader,Currently a student with prior work experience,Banking & Financial Services,Individual Contributor,Less than 2 years,"201 to 1,000",Under 25,,"Yes, frequently",Never,"Yes, but only in general terms","Yes, a one-time session or workshop",24.3,3,5.0,4.0,1,5,3,4.0,2.0,Wait for formal instructions before using it,Lack of training,5,5,5,4.0,5.0,4,4,4,4.0,4.0,1.0,1.0,2,1,1,5,5,5,4,4,3.0,4.0,4,3.0,3.0,3,4,4,1,1,5,5,5,4,4,4.0,3.0,5.0,1.0,4.0,4.0,5,4,3,4,4,5,96.43,72.08,66.67,30.0,0.0,56.25,100.0,85.0,69.14,93.91,1,0
17,Cautious Pragmatist,Self-employed / Business owner,Consulting,Senior Manager / Director,,Fewer than 50,55 and above,Female,"Yes, frequently",Never,"Yes, but only in general terms",Informal / self-directed learning only,2.1,3,2.0,3.0,1,3,2,5.0,4.0,Ask a colleague for help before trying it,Poor infrastructure / tools,3,3,3,3.0,3.0,3,3,4,3.0,4.0,,3.0,2,2,2,1,2,3,2,2,2.0,2.0,2,3.0,3.0,3,3,2,2,2,3,3,4,3,3,2.0,2.0,3.0,3.0,3.0,4.0,1,2,2,3,3,3,39.29,24.33,41.67,25.0,37.5,43.75,55.83,55.0,45.54,27.68,1,0
18,AI Champion,Full-time employed,Government / Public Sector,Middle Manager,11 to 15 years,"1,001 to 10,000",25 to 34,Female,"Yes, only once or twice",Rarely (once),"Yes, clearly and in detail",Informal / self-directed learning only,39.2,4,4.0,5.0,3,4,1,5.0,2.0,Wait for formal instructions before using it,Lack of leadership support,5,5,5,5.0,4.0,5,5,5,5.0,5.0,2.0,2.0,2,1,2,4,4,4,3,4,5.0,5.0,5,5.0,5.0,4,5,5,1,1,5,5,5,5,5,2.0,1.0,4.0,1.0,5.0,3.0,5,5,5,5,5,5,89.29,48.67,91.67,15.0,25.0,100.0,63.87,97.5,93.05,84.21,1,0
19,Change Fatigued,Full-time employed,,Team Lead / Supervisor,6 to 10 years,"More than 10,000",45 to 54,Prefer not to say,"No, never",Often (4 to 6 times),"No, there is no visible AI strategy","Yes, a one-time session or workshop",2.2,2,,3.0,1,3,5,2.0,4.0,Ask a colleague for help before trying it,Poor infrastructure / tools,2,2,3,2.0,1.0,4,3,3,2.0,3.0,4.0,4.0,4,3,2,3,2,2,3,2,3.0,4.0,3,3.0,2.0,2,2,2,3,4,2,2,2,4,4,3.0,3.0,3.0,3.0,3.0,2.0,1,2,2,2,3,2,28.57,28.83,25.0,50.0,75.0,31.25,13.81,37.5,32.53,8.83,0,0
20,Cautious Pragmatist,Full-time employed,Banking & Financial Services,Senior Manager / Director,2 to 5 years,"1,001 to 10,000",35 to 44,Female,"Yes, only once or twice",Sometimes (2 to 3 times),"Yes, clearly and in detail","Yes, a one-time session or workshop",3.6,4,4.0,3.0,1,3,5,2.0,4.0,Raise a concern with my manager about the lack of preparation,Poor infrastructure / tools,4,3,4,3.0,3.0,3,3,3,3.0,4.0,3.0,3.0,3,3,3,2,3,4,2,2,2.0,2.0,2,3.0,3.0,4,3,4,4,4,3,2,3,3,4,4.0,4.0,3.0,3.0,3.0,3.0,3,2,3,3,3,3,53.57,36.04,66.67,60.0,50.0,50.0,33.13,50.0,49.62,29.99,0,0
21,Change Fatigued,Full-time employed,IT / Technology,Team Lead / Supervisor,11 to 15 years,Fewer than 50,45 to 54,Male,"Yes, only once or twice",Sometimes (2 to 3 times),"No, but it is rumoured / informally discussed","Yes, a one-time session or workshop",2.8,2,3.0,3.0,1,5,3,2.0,4.0,Raise a concern with my manager about the lack of preparation,Distrust of AI accuracy,3,3,3,3.0,4.0,3,2,3,3.0,3.0,3.0,3.0,4,3,3,2,3,3,3,2,3.0,3.0,4,3.0,3.0,4,2,2,2,1,2,3,2,2,3,3.0,4.0,2.0,4.0,3.0,3.0,3,3,3,2,3,3,50.0,36.04,41.67,60.0,50.0,43.75,24.02,47.5,44.29,20.29,0,0
22,Cautious Pragmatist,Full-time employed,Retail & E-commerce,Individual Contributor,6 to 10 years,"201 to 1,000",25 to 34,Male,"Yes, occasionally",Often (4 to 6 times),"No, there is no visible AI strategy",No training received,6.2,4,2.0,3.0,2,4,1,,3.0,Ask a colleague for help before trying it,Lack of time,3,3,2,3.0,,5,4,5,3.0,3.0,3.0,3.0,3,3,3,3,3,2,3,3,2.0,2.0,2,2.0,3.0,2,3,2,2,3,3,3,3,3,2,1.0,2.0,3.0,3.0,4.0,5.0,2,2,3,3,3,3,42.86,24.79,33.33,35.0,50.0,43.75,64.89,45.0,60.03,61.35,0,0
23,Digital Resister,Full-time employed,Manufacturing,Individual Contributor,More than 15 years,"1,001 to 10,000",25 to 34,Male,"Yes, occasionally",Sometimes (2 to 3 times),"No, there is no visible AI strategy",Informal / self-directed learning only,3.2,2,2.0,1.0,2,4,5,1.0,3.0,Wait for formal instructions before using it,Lack of leadership support,2,2,2,2.0,1.0,2,2,1,2.0,2.0,3.0,3.0,3,4,4,3,3,2,3,3,2.0,3.0,1,2.0,2.0,3,2,2,4,5,1,2,1,1,1,3.0,2.0,3.0,4.0,1.0,2.0,2,3,3,2,3,1,28.57,30.42,33.33,55.0,50.0,31.25,38.36,15.0,28.68,3.24,0,0
24,Digital Resister,Full-time employed,Healthcare,Senior Manager / Director,Less than 2 years,"201 to 1,000",Under 25,Female,"Yes, frequently",Sometimes (2 to 3 times),"Yes, but only in general terms",No training received,1.2,2,1.0,2.0,2,3,4,1.0,5.0,Wait for formal instructions before using it,Poor infrastructure / tools,2,2,3,2.0,2.0,3,1,2,2.0,3.0,2.0,3.0,5,5,5,2,3,2,2,2,3.0,3.0,3,1.0,2.0,1,3,2,4,3,3,2,3,3,2,4.0,4.0,2.0,5.0,1.0,1.0,2,2,3,3,2,3,32.14,14.88,25.0,90.0,37.5,31.25,30.24,35.0,19.12,26.17,0,0
25,Change Fatigued,Full-time employed,Manufacturing,Middle Manager,,50 to 200,25 to 34,Female,"Yes, only once or twice",Constantly (more than 6 times),"Yes, but only in general terms","Yes, a one-time session or workshop",2.7,3,2.0,3.0,1,4,3,2.0,,Ask a colleague for help before trying it,Poor infrastructure / tools,3,3,3,4.0,3.0,3,2,3,4.0,4.0,4.0,4.0,2,2,3,2,2,2,2,3,3.0,3.0,3,2.0,2.0,2,3,3,2,3,2,3,2,2,3,3.0,4.0,3.0,3.0,3.0,3.0,2,3,2,2,3,4,46.43,28.83,41.67,45.0,75.0,25.0,60.58,42.5,34.06,49.38,1,0
26,Transformation Leader,Full-time employed,Banking & Financial Services,Middle Manager,2 to 5 years,"More than 10,000",35 to 44,,"Yes, frequently",Rarely (once),"Yes, clearly and in detail",Informal / self-directed learning only,6.0,4,5.0,5.0,3,4,1,5.0,2.0,Try to figure it out myself immediately,Lack of training,3,3,4,4.0,4.0,4,3,4,4.0,5.0,2.0,2.0,1,1,1,5,5,4,4,4,3.0,4.0,4,4.0,3.0,4,5,4,2,1,4,4,4,4,4,1.0,4.0,4.0,2.0,4.0,5.0,4,5,5,4,5,5,75.0,54.75,83.33,15.0,25.0,75.0,100.0,80.0,76.43,77.93,1,0
27,Cautious Pragmatist,Full-time employed,Banking & Financial Services,Senior Manager / Director,11 to 15 years,Fewer than 50,35 to 44,Male,"Yes, only once or twice",Never,"Yes, but only in general terms",No training received,2.5,2,2.0,3.0,4,1,5,2.0,3.0,Try to figure it out myself immediately,Lack of time,3,4,4,2.0,1.0,4,3,4,2.0,2.0,1.0,1.0,2,3,3,2,3,1,2,3,3.0,3.0,3,3.0,2.0,3,2,2,2,3,3,2,2,2,2,3.0,4.0,4.0,,,5.0,2,3,3,3,3,3,42.86,14.88,33.33,50.0,0.0,43.75,34.9,37.5,53.51,22.44,0,0
28,AI Champion,Full-time employed,Retail & E-commerce,Senior Manager / Director,6 to 10 years,Fewer than 50,35 to 44,Male,"Yes, occasionally",Sometimes (2 to 3 times),"Yes, clearly and in detail","Yes, a one-time session or workshop",14.4,5,5.0,4.0,3,5,1,4.0,2.0,,No real barrier / fully ready,5,4,5,4.0,4.0,5,5,4,3.0,2.0,3.0,2.0,1,1,1,4,3,4,4,4,3.0,3.0,3,3.0,4.0,5,5,5,1,1,5,5,4,5,5,1.0,1.0,4.0,2.0,4.0,5.0,4,5,5,5,4,5,78.57,64.88,100.0,0.0,37.5,81.25,76.63,97.5,84.48,78.23,1,0
29,Transformation Leader,Full-time employed,Consulting,Senior Manager / Director,2 to 5 years,"1,001 to 10,000",55 and above,Male,"Yes, frequently",Never,"No, but it is rumoured / informally discussed",Informal / self-directed learning only,13.0,4,4.0,4.0,1,3,2,5.0,4.0,Try to figure it out myself immediately,Fear of job loss,4,4,5,3.0,3.0,5,5,5,5.0,4.0,2.0,2.0,2,2,3,4,4,5,5,4,4.0,4.0,4,4.0,4.0,5,3,4,1,1,4,4,3,4,3,2.0,2.0,3.0,3.0,4.0,4.0,4,5,5,5,5,4,71.43,66.92,75.0,30.0,25.0,87.5,83.11,75.0,83.91,82.75,0,0
30,Change Fatigued,Self-employed / Business owner,Banking & Financial Services,C-Suite / Executive,Less than 2 years,"201 to 1,000",25 to 34,Male,"Yes, only once or twice",Constantly (more than 6 times),"No, there is no visible AI strategy",Informal / self-directed learning only,1.1,2,3.0,2.0,1,4,5,2.0,3.0,Wait for formal instructions before using it,Lack of training,3,4,3,4.0,3.0,3,3,3,3.0,2.0,4.0,,4,2,3,2,2,2,2,2,2.0,3.0,3,2.0,2.0,3,2,2,4,4,1,3,2,3,2,4.0,3.0,2.0,3.0,3.0,4.0,2,3,2,3,3,3,50.0,18.25,33.33,55.0,75.0,31.25,43.28,30.0,35.34,53.26,0,0
31,Change Fatigued,Currently a student with prior work experience,IT / Technology,Senior Manager / Director,6 to 10 years,"More than 10,000",25 to 34,Male,"Yes, occasionally",Often (4 to 6 times),"Yes, clearly and in detail",Informal / self-directed learning only,0.7,2,3.0,2.0,1,4,5,3.0,,Raise a concern with my manager about the lack of preparation,Lack of leadership support,4,3,4,2.0,2.0,2,3,4,4.0,2.0,4.0,3.0,3,3,3,3,2,3,2,2,4.0,4.0,3,1.0,2.0,2,3,2,4,3,3,3,2,2,2,2.0,2.0,,2.0,3.0,3.0,2,2,3,3,2,3,46.43,24.33,33.33,40.0,62.5,31.25,49.99,35.0,30.52,21.47,0,0
32,Digital Resister,Full-time employed,Insurance,Team Lead / Supervisor,6 to 10 years,"1,001 to 10,000",25 to 34,Male,"Yes, occasionally",Often (4 to 6 times),"No, but it is rumoured / informally discussed",No training received,0.7,2,2.0,2.0,2,5,3,1.0,4.0,Avoid using it for as long as possible,Lack of training,3,3,3,1.0,1.0,4,4,4,1.0,2.0,2.0,2.0,5,5,5,2,2,1,2,3,1.0,2.0,2,3.0,3.0,1,1,1,3,4,3,3,3,2,2,3.0,3.0,2.0,4.0,3.0,3.0,1,1,2,1,2,2,28.57,14.88,0.0,80.0,25.0,31.25,44.54,27.5,30.52,34.35,0,0
33,Cautious Pragmatist,Full-time employed,Other,Middle Manager,Less than 2 years,"201 to 1,000",35 to 44,Female,"Yes, occasionally",Often (4 to 6 times),"Yes, but only in general terms",Informal / self-directed learning only,2.6,3,3.0,4.0,4,5,1,2.0,3.0,Avoid using it for as long as possible,Lack of time,2,3,2,3.0,3.0,3,3,3,4.0,4.0,3.0,3.0,1,1,3,2,3,3,4,4,3.0,3.0,3,3.0,2.0,2,2,2,2,1,4,3,4,3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,3,2,3,4,4,39.29,48.67,25.0,30.0,50.0,37.5,76.18,55.0,40.49,37.33,1,0
34,Cautious Pragmatist,Full-time employed,IT / Technology,C-Suite / Executive,11 to 15 years,"201 to 1,000",Under 25,Male,"Yes, frequently",Constantly (more than 6 times),"Yes, but only in general terms",No training received,8.3,4,3.0,4.0,1,3,2,5.0,4.0,Ask a colleague for help before trying it,Lack of time,2,3,4,2.0,3.0,4,3,3,4.0,4.0,4.0,3.0,3,2,2,4,3,3,3,3,3.0,3.0,2,4.0,3.0,3,3,2,2,3,3,3,4,4,3,2.0,3.0,3.0,3.0,3.0,3.0,4,4,3,2,2,3,50.0,29.75,41.67,35.0,62.5,50.0,65.41,55.0,55.49,41.51,1,0
35,Cautious Pragmatist,Full-time employed,Manufacturing,Senior Manager / Director,11 to 15 years,"1,001 to 10,000",25 to 34,Male,"Yes, only once or twice",Sometimes (2 to 3 times),"Yes, clearly and in detail","Yes, a one-time session or workshop",2.1,3,3.0,3.0,1,5,2,4.0,3.0,Ask a colleague for help before trying it,Lack of time,3,4,4,3.0,3.0,2,2,2,3.0,3.0,2.0,,1,2,2,2,2,3,2,2,2.0,2.0,3,2.0,2.0,4,4,3,2,1,3,3,4,3,2,2.0,3.0,3.0,4.0,4.0,3.0,4,4,3,3,4,4,50.0,28.83,66.67,25.0,25.0,37.5,76.04,62.5,42.21,69.04,1,0
36,Transformation Leader,Full-time employed,Consulting,Middle Manager,6 to 10 years,"1,001 to 10,000",35 to 44,Male,"Yes, only once or twice",Never,"No, but it is rumoured / informally discussed",No training received,11.1,3,4.0,,1,4,2,5.0,3.0,Wait for formal instructions before using it,No real barrier / fully ready,4,4,4,5.0,,4,5,5,4.0,4.0,1.0,1.0,2,2,2,4,4,3,3,4,,4.0,4,3.0,3.0,3,4,3,2,2,5,4,4,4,3,2.0,4.0,3.0,3.0,4.0,3.0,4,3,4,3,4,4,75.0,34.71,58.33,35.0,0.0,56.25,66.93,70.0,63.38,62.37,1,0
37,Transformation Leader,Full-time employed,,Team Lead / Supervisor,2 to 5 years,,Under 25,Male,"Yes, occasionally",Rarely (once),"Yes, clearly and in detail","Yes, a one-time session or workshop",16.8,3,3.0,5.0,3,4,1,5.0,2.0,Try to figure it out myself immediately,Lack of training,3,4,3,3.0,4.0,4,4,4,5.0,4.0,2.0,2.0,3,2,2,3,4,4,4,3,4.0,4.0,5,4.0,4.0,3,3,3,3,2,5,5,5,5,5,3.0,3.0,5.0,2.0,4.0,3.0,4,5,4,4,4,3,60.71,57.67,50.0,40.0,25.0,75.0,40.51,77.5,74.99,67.82,1,0
38,Cautious Pragmatist,Self-employed / Business owner,IT / Technology,Individual Contributor,6 to 10 years,"1,001 to 10,000",55 and above,Male,"Yes, frequently",Sometimes (2 to 3 times),"Yes, but only in general terms",Informal / self-directed learning only,2.2,3,4.0,3.0,1,5,3,2.0,4.0,Raise a concern with my manager about the lack of preparation,Lack of training,3,3,2,2.0,4.0,5,5,5,3.0,4.0,3.0,3.0,3,2,3,4,4,4,3,3,3.0,2.0,3,3.0,3.0,2,3,2,1,2,3,2,3,3,2,4.0,4.0,3.0,3.0,3.0,4.0,4,4,4,4,3,3,53.57,42.58,33.33,55.0,50.0,62.5,54.55,47.5,55.87,82.91,1,0
39,Transformation Leader,Full-time employed,Government / Public Sector,Team Lead / Supervisor,6 to 10 years,"More than 10,000",55 and above,Male,"Yes, frequently",Sometimes (2 to 3 times),"Yes, clearly and in detail","Yes, a one-time session or workshop",19.5,4,4.0,5.0,2,4,1,5.0,3.0,Raise a concern with my manager about the lack of preparation,Fear of job loss,4,4,5,4.0,5.0,3,3,3,3.0,4.0,2.0,4.0,2,2,2,4,3,5,4,5,3.0,3.0,4,3.0,3.0,4,4,3,1,2,5,4,4,3,4,2.0,2.0,3.0,4.0,4.0,4.0,5,5,4,3,4,5,78.57,79.29,66.67,25.0,50.0,56.25,85.33,75.0,68.64,65.58,1,0
